2012-03-22 10:36:32, 1 of 70, 1.4%
2012-03-22 10:36:32, 2 of 70, 2.9%
2012-03-22 10:36:32, 3 of 70, 4.3%
2012-03-22 10:36:32, 4 of 70, 5.7%
2012-03-22 10:36:33, 7 of 70, 10%
2012-03-22 10:36:33, 6 of 70, 8.6%
2012-03-22 10:36:33, 8 of 70, 11.4%
2012-03-22 10:36:33, 5 of 70, 7.1%
2012-03-22 10:36:34, 11 of 70, 15.7%
2012-03-22 10:36:34, 10 of 70, 14.3%
2012-03-22 10:36:34, 12 of 70, 17.1%
2012-03-22 10:36:34, 9 of 70, 12.9%
2012-03-22 10:36:35, 15 of 70, 21.4%
2012-03-22 10:36:35, 14 of 70, 20%
2012-03-22 10:36:35, 16 of 70, 22.9%
2012-03-22 10:36:35, 13 of 70, 18.6%
2012-03-22 10:36:36, 19 of 70, 27.1%
2012-03-22 10:36:36, 18 of 70, 25.7%
2012-03-22 10:36:36, 20 of 70, 28.6%
2012-03-22 10:36:36, 17 of 70, 24.3%
2012-03-22 10:36:36, 23 of 70, 32.9%
2012-03-22 10:36:36, 22 of 70, 31.4%
2012-03-22 10:36:37, 24 of 70, 34.3%
2012-03-22 10:36:37, 21 of 70, 30%
2012-03-22 10:36:37, 27 of 70, 38.6%
2012-03-22 10:36:37, 26 of 70, 37.1%
2012-03-22 10:36:37, 28 of 70, 40%
2012-03-22 10:36:38, 25 of 70, 35.7%
2012-03-22 10:36:38, 31 of 70, 44.3%
2012-03-22 10:36:38, 30 of 70, 42.9%
2012-03-22 10:36:38, 32 of 70, 45.7%
2012-03-22 10:36:38, 29 of 70, 41.4%
2012-03-22 10:36:38, 35 of 70, 50%
2012-03-22 10:36:39, 34 of 70, 48.6%
2012-03-22 10:36:39, 36 of 70, 51.4%
2012-03-22 10:36:39, 33 of 70, 47.1%
2012-03-22 10:36:39, 39 of 70, 55.7%
2012-03-22 10:36:39, 38 of 70, 54.3%
2012-03-22 10:36:40, 40 of 70, 57.1%
2012-03-22 10:36:40, 37 of 70, 52.9%
2012-03-22 10:36:40, 43 of 70, 61.4%
2012-03-22 10:36:40, 42 of 70, 60%
2012-03-22 10:36:40, 44 of 70, 62.9%
2012-03-22 10:36:41, 41 of 70, 58.6%
2012-03-22 10:36:41, 47 of 70, 67.1%
2012-03-22 10:36:41, 46 of 70, 65.7%
2012-03-22 10:36:41, 48 of 70, 68.6%
2012-03-22 10:36:42, 51 of 70, 72.9%
2012-03-22 10:36:42, 45 of 70, 64.3%
2012-03-22 10:36:42, 50 of 70, 71.4%
2012-03-22 10:36:42, 52 of 70, 74.3%
2012-03-22 10:36:43, 54 of 70, 77.1%
2012-03-22 10:36:43, 55 of 70, 78.6%
2012-03-22 10:36:43, 49 of 70, 70%
2012-03-22 10:36:43, 56 of 70, 80%
2012-03-22 10:36:43, 59 of 70, 84.3%
2012-03-22 10:36:44, 58 of 70, 82.9%
2012-03-22 10:36:44, 53 of 70, 75.7%
2012-03-22 10:36:44, 60 of 70, 85.7%
2012-03-22 10:36:44, 63 of 70, 90%
2012-03-22 10:36:44, 62 of 70, 88.6%
2012-03-22 10:36:44, 57 of 70, 81.4%
2012-03-22 10:36:45, 64 of 70, 91.4%
