2012-05-17 19:41:08, 2012-05-17 19:41:081,  of 1702,  of 1700.6, %
1.2%
2012-05-17 19:41:18, 3 of 170, 1.8%
2012-05-17 19:41:18, 4 of 170, 2.4%
2012-05-17 19:41:26, 6 of 170, 3.5%
2012-05-17 19:41:30, 5 of 170, 2.9%
2012-05-17 19:41:34, 8 of 170, 4.7%
2012-05-17 19:41:38, 7 of 170, 4.1%
2012-05-17 19:41:44, 10 of 170, 5.9%
2012-05-17 19:41:47, 9 of 170, 5.3%
2012-05-17 19:41:53, 12 of 170, 7.1%
2012-05-17 19:41:56, 11 of 170, 6.5%
2012-05-17 19:42:03, 14 of 170, 8.2%
2012-05-17 19:42:03, 13 of 170, 7.6%
2012-05-17 19:42:11, 16 of 170, 9.4%
2012-05-17 19:42:13, 15 of 170, 8.8%
2012-05-17 19:42:19, 18 of 170, 10.6%
2012-05-17 19:42:22, 17 of 170, 10%
2012-05-17 19:42:30, 20 of 170, 11.8%
2012-05-17 19:42:30, 19 of 170, 11.2%
2012-05-17 19:42:39, 21 of 170, 12.4%
2012-05-17 19:42:39, 22 of 170, 12.9%
2012-05-17 19:42:46, 23 of 170, 13.5%
2012-05-17 19:42:47, 24 of 170, 14.1%
2012-05-17 19:42:54, 25 of 170, 14.7%
2012-05-17 19:42:55, 26 of 170, 15.3%
2012-05-17 19:43:03, 28 of 170, 16.5%
2012-05-17 19:43:03, 27 of 170, 15.9%
2012-05-17 19:43:10, 30 of 170, 17.6%
2012-05-17 19:43:12, 29 of 170, 17.1%
2012-05-17 19:43:18, 32 of 170, 18.8%
2012-05-17 19:43:21, 31 of 170, 18.2%
2012-05-17 19:43:26, 34 of 170, 20%
2012-05-17 19:43:29, 33 of 170, 19.4%
2012-05-17 19:43:34, 36 of 170, 21.2%
2012-05-17 19:43:37, 35 of 170, 20.6%
2012-05-17 19:43:43, 38 of 170, 22.4%
2012-05-17 19:43:46, 37 of 170, 21.8%
2012-05-17 19:43:52, 40 of 170, 23.5%
2012-05-17 19:43:54, 39 of 170, 22.9%
2012-05-17 19:44:01, 41 of 170, 24.1%
2012-05-17 19:44:02, 42 of 170, 24.7%
2012-05-17 19:44:08, 43 of 170, 25.3%
2012-05-17 19:44:11, 44 of 170, 25.9%
2012-05-17 19:44:15, 45 of 170, 26.5%
2012-05-17 19:44:21, 46 of 170, 27.1%
2012-05-17 19:44:24, 47 of 170, 27.6%
2012-05-17 19:44:29, 48 of 170, 28.2%
2012-05-17 19:44:33, 49 of 170, 28.8%
2012-05-17 19:44:37, 50 of 170, 29.4%
2012-05-17 19:44:41, 51 of 170, 30%
2012-05-17 19:44:46, 52 of 170, 30.6%
2012-05-17 19:44:51, 53 of 170, 31.2%
2012-05-17 19:44:55, 54 of 170, 31.8%
2012-05-17 19:45:00, 55 of 170, 32.4%
2012-05-17 19:45:05, 56 of 170, 32.9%
2012-05-17 19:45:08, 57 of 170, 33.5%
2012-05-17 19:45:14, 58 of 170, 34.1%
2012-05-17 19:45:16, 59 of 170, 34.7%
2012-05-17 19:45:23, 60 of 170, 35.3%
2012-05-17 19:45:25, 61 of 170, 35.9%
2012-05-17 19:45:32, 62 of 170, 36.5%
2012-05-17 19:45:33, 63 of 170, 37.1%
2012-05-17 19:45:41, 64 of 170, 37.6%
2012-05-17 19:45:42, 65 of 170, 38.2%
2012-05-17 19:45:49, 66 of 170, 38.8%
2012-05-17 19:45:51, 67 of 170, 39.4%
2012-05-17 19:45:58, 69 of 170, 40.6%
2012-05-17 19:46:00, 68 of 170, 40%
2012-05-17 19:46:07, 71 of 170, 41.8%
2012-05-17 19:46:09, 70 of 170, 41.2%
2012-05-17 19:46:15, 73 of 170, 42.9%
2012-05-17 19:46:18, 72 of 170, 42.4%
2012-05-17 19:46:25, 75 of 170, 44.1%
2012-05-17 19:46:25, 74 of 170, 43.5%
2012-05-17 19:46:32, 77 of 170, 45.3%
2012-05-17 19:46:35, 76 of 170, 44.7%
2012-05-17 19:46:40, 79 of 170, 46.5%
2012-05-17 19:46:44, 78 of 170, 45.9%
2012-05-17 19:46:49, 81 of 170, 47.6%
2012-05-17 19:46:51, 80 of 170, 47.1%
2012-05-17 19:46:58, 83 of 170, 48.8%
2012-05-17 19:47:00, 82 of 170, 48.2%
2012-05-17 19:47:07, 85 of 170, 50%
2012-05-17 19:47:08, 84 of 170, 49.4%
2012-05-17 19:47:15, 87 of 170, 51.2%
2012-05-17 19:47:17, 86 of 170, 50.6%
2012-05-17 19:47:23, 89 of 170, 52.4%
