2012-03-22 12:00:44, 1 of 70, 1.4%
2012-03-22 12:00:44, 2 of 70, 2.9%
2012-03-22 12:00:44, 3 of 70, 4.3%
2012-03-22 12:00:44, 4 of 70, 5.7%
2012-03-22 12:00:44, 5 of 70, 7.1%
2012-03-22 12:00:51, 8 of 70, 11.4%
2012-03-22 12:00:52, 7 of 70, 10%
2012-03-22 12:00:52, 6 of 70, 8.6%
2012-03-22 12:00:52, 9 of 70, 12.9%
2012-03-22 12:00:59, 12 of 70, 17.1%
2012-03-22 12:01:00, 11 of 70, 15.7%
2012-03-22 12:01:00, 13 of 70, 18.6%
2012-03-22 12:01:00, 10 of 70, 14.3%
2012-03-22 12:01:07, 16 of 70, 22.9%
2012-03-22 12:01:07, 17 of 70, 24.3%
2012-03-22 12:01:07, 15 of 70, 21.4%
2012-03-22 12:01:09, 14 of 70, 20%
2012-03-22 12:01:14, 20 of 70, 28.6%
2012-03-22 12:01:15, 21 of 70, 30%
2012-03-22 12:01:15, 19 of 70, 27.1%
2012-03-22 12:01:16, 18 of 70, 25.7%
2012-03-22 12:01:22, 24 of 70, 34.3%
2012-03-22 12:01:22, 23 of 70, 32.9%
2012-03-22 12:01:23, 25 of 70, 35.7%
2012-03-22 12:01:24, 22 of 70, 31.4%
2012-03-22 12:01:30, 28 of 70, 40%
2012-03-22 12:01:30, 27 of 70, 38.6%
2012-03-22 12:01:30, 29 of 70, 41.4%
2012-03-22 12:01:31, 26 of 70, 37.1%
2012-03-22 12:01:37, 32 of 70, 45.7%
2012-03-22 12:01:38, 31 of 70, 44.3%
2012-03-22 12:01:38, 33 of 70, 47.1%
2012-03-22 12:01:39, 30 of 70, 42.9%
2012-03-22 12:01:45, 36 of 70, 51.4%
2012-03-22 12:01:45, 35 of 70, 50%
2012-03-22 12:01:46, 37 of 70, 52.9%
2012-03-22 12:01:46, 34 of 70, 48.6%
2012-03-22 12:01:53, 39 of 70, 55.7%
2012-03-22 12:01:53, 41 of 70, 58.6%
2012-03-22 12:01:53, 40 of 70, 57.1%
2012-03-22 12:01:54, 38 of 70, 54.3%
2012-03-22 12:02:00, 43 of 70, 61.4%
2012-03-22 12:02:01, 45 of 70, 64.3%
2012-03-22 12:02:01, 44 of 70, 62.9%
2012-03-22 12:02:01, 42 of 70, 60%
2012-03-22 12:02:08, 47 of 70, 67.1%
2012-03-22 12:02:09, 48 of 70, 68.6%
2012-03-22 12:02:09, 49 of 70, 70%
2012-03-22 12:02:09, 46 of 70, 65.7%
2012-03-22 12:02:09, 53 of 70, 75.7%
2012-03-22 12:02:16, 51 of 70, 72.9%
2012-03-22 12:02:17, 50 of 70, 71.4%
2012-03-22 12:02:17, 52 of 70, 74.3%
2012-03-22 12:02:17, 57 of 70, 81.4%
2012-03-22 12:02:24, 55 of 70, 78.6%
2012-03-22 12:02:24, 61 of 70, 87.1%
2012-03-22 12:02:24, 56 of 70, 80%
2012-03-22 12:02:25, 54 of 70, 77.1%
2012-03-22 12:02:32, 59 of 70, 84.3%
2012-03-22 12:02:32, 58 of 70, 82.9%
2012-03-22 12:02:32, 65 of 70, 92.9%
2012-03-22 12:02:32, 60 of 70, 85.7%
2012-03-22 12:02:33, 64 of 70, 91.4%
2012-03-22 12:02:39, 63 of 70, 90%
2012-03-22 12:02:40, 62 of 70, 88.6%
2012-03-22 12:02:41, 69 of 70, 98.6%
2012-03-22 12:02:41, 68 of 70, 97.1%
2012-03-22 12:02:47, 67 of 70, 95.7%
2012-03-22 12:02:48, 66 of 70, 94.3%
2012-03-22 12:02:53, 70 of 70, 100%
